GN,GN Latitude,GN Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Pamunuwa,6.8589743,79.9318623,Maharagama Bus Station,6.8524076272754115,79.93415479342447,Bus station
Thalapathpitiya,6.8693785,79.9234678,Sri Jayewardena Bus Halt,6.866282129862092,79.92695190844913,Bus station
Thalapathpitiya,6.8693785,79.9234678,153 Bus Hault,6.877700461807521,79.92470020222807,Bus station
Thalapathpitiya,6.8693785,79.9234678,Udahamulla Bus Depot,6.865115042887691,79.91571223314047,Bus station
Pragathipura,6.8764912,79.9157721,Madiwela Juntion,6.878812677298836,79.92172698691422,Bus station
Pragathipura,6.8764912,79.9157721,153 Bus Hault,6.877700461807521,79.92470020222807,Bus station
Udahamulla East,6.8665559,79.9150724,Udahamulla Bus Depot,6.865115042887691,79.91571223314047,Bus station
Udahamulla West,6.8639697,79.9178709,Udahamulla Bus Depot,6.865115042887691,79.91571223314047,Bus station
Udahamulla West,6.8639697,79.9178709,Sri Jayewardena Bus Halt,6.866282129862092,79.92695190844913,Bus station
Pathiragoda,6.8587386,79.9206694,Wattegedara Bus Halt,6.851394473641095,79.92034418880749,Bus station
Pathiragoda,6.8587386,79.9206694,Sri Jayewardena Bus Halt,6.866282129862092,79.92695190844913,Bus station
Pathiragoda,6.8587386,79.9206694,212 Bus stand,6.849592453155634,79.92359618919947,Bus station
Pathiragoda,6.8587386,79.9206694,Udahamulla Bus Depot,6.865115042887691,79.91571223314047,Bus station
Maharagama East,6.85821,79.9269656,Sri Jayewardena Bus Halt,6.866282129862092,79.92695190844913,Bus station
Maharagama East,6.85821,79.9269656,122 Bus Halt Maharagama,6.846989864480611,79.92682074268403,Bus station
Maharagama East,6.85821,79.9269656,212 Bus stand,6.849592453155634,79.92359618919947,Bus station
Maharagama East,6.85821,79.9269656,345 Bus Stop,6.848462464903766,79.92512650056565,Bus station
Maharagama East,6.85821,79.9269656,Maragama 212 Bus Halt,6.848009715935376,79.92750936075954,Bus station
Maharagama East,6.85821,79.9269656,Wattegedara Bus Halt,6.851394473641095,79.92034418880749,Bus station
Maharagama East,6.85821,79.9269656,автобусная станция,6.848109,79.925718,Bus station
Maharagama East,6.85821,79.9269656,993 Bus Stand Maharagama,6.84829236554337,79.92536697563585,Bus station
Maharagama West,6.8515684,79.9255665,993 Bus Stand Maharagama,6.84829236554337,79.92536697563585,Bus station
Maharagama West,6.8515684,79.9255665,Maharagama SLTB Depot,6.842780590057373,79.92401123046875,Bus station
Maharagama West,6.8515684,79.9255665,Maharagama Bus Station,6.8524076272754115,79.93415479342447,Bus station
Maharagama West,6.8515684,79.9255665,Maharagama 138 Halt,6.84641403183815,79.92767878183716,Bus station
Maharagama West,6.8515684,79.9255665,автобусная станция,6.848109,79.925718,Bus station
Maharagama West,6.8515684,79.9255665,Maharagama 345 Bus Halt,6.845938959386791,79.92768971221801,Bus station
Maharagama West,6.8515684,79.9255665,119 Bus Stand,6.845374801397609,79.92617037619745,Bus station
Maharagama West,6.8515684,79.9255665,122 Bus Halt Maharagama,6.846989864480611,79.92682074268403,Bus station
Maharagama West,6.8515684,79.9255665,Wattegedara Bus Halt,6.851394473641095,79.92034418880749,Bus station
Maharagama West,6.8515684,79.9255665,345 Bus Stop,6.848462464903766,79.92512650056565,Bus station
Maharagama West,6.8515684,79.9255665,212 Bus stand,6.849592453155634,79.92359618919947,Bus station
Maharagama West,6.8515684,79.9255665,Maharagama 341 Bus Halt,6.844550325433502,79.92599525917139,Bus station
