DS,GN,GN Number,Both sexes,Male,Female,Latitude,Longitude
Homagama,Kurunduwatta,448C,3867,1828,2039,6.842739,80.0409178
Homagama,Kurunduwatta,448C,3867,1828,2039,6.9139148,79.8685189
Thimbirigasyaya,Kurunduwatta,,9914,4703,5211,6.842739,80.0409178
Thimbirigasyaya,Kurunduwatta,,9914,4703,5211,6.9139148,79.8685189
Homagama,Gehenuwala,447C,2035,1006,1029,6.8482038,80.049301
Homagama,Watareka South,448,6457,3111,3346,6.8418512,80.0618743
Homagama,Ovitigama,448A,4701,2325,2376,6.8362134,80.0451095
Homagama,Kandanawatta,484D,2771,1309,1462,6.8372748,80.0325338
Homagama,Kiriberiyakele,484F,3332,1585,1747,6.8371005,80.0241489
Homagama,Mawathgama,485,2472,1217,1255,6.8355165,80.0115701
Homagama,Katuwana,486E,4223,2119,2104,6.8339322,79.9989895
Homagama,Galavilawatta South,486G,3360,1630,1730,6.8364602,79.9933976
Homagama,Niyandagala,499A,3845,1738,2107,6.831113,79.9906015
Homagama,Hiripitiya,499G,4467,2179,2288,6.8334657,79.9766195
Homagama,Mambulgoda,500A,2983,1467,1516,6.8281188,79.9738229
Homagama,Kithulhena,591C,1581,768,813,6.8252997,79.9654324
Homagama,Siddamulla North,591,2429,1156,1273,6.8198953,79.9598383
Homagama,Siddamulla South,591B,2452,1183,1269,6.816547,79.9577404
Homagama,Mattegoda West,587,4931,2333,2598,6.809438,79.9654324
Homagama,Mattegoda Central 'A',587A,1894,834,1060,6.8148997,79.9738229
Homagama,Mattegoda East,587C,3594,1806,1788,6.8129898,79.9773187
Homagama,Brahmanagama,500,4655,2389,2266,6.8153539,79.9797657
Homagama,Deepangoda,590B,3278,1582,1696,6.813898,79.9892034
Homagama,Magammana West,590A,2502,1203,1299,6.8232387,79.9933976
Homagama,Magammana East,590,4039,1965,2074,6.8232387,79.9933976
Homagama,Uduwana,485A,3192,1570,1622,6.8235294,80.0073768
Homagama,Prasannapura,484G,2679,1293,1386,6.8237037,80.0157633
Homagama,Pitipana North,484,3762,1858,1904,6.8239567,80.0283101
Homagama,Suwapubudugama,484E,2127,1046,1081,6.8083609,80.0409178
Homagama,Pitipana South,484A,2888,1378,1510,6.8148261,80.0339312
Homagama,Dolahena,484C,3981,1961,2020,6.8145945,80.0227514
Homagama,Diyagama East,589,1529,749,780,6.8076665,80.0073768
Homagama,Diyagama West,589A,1942,933,1009,6.8020898,79.9933976
Homagama,Kirigampamunuwa,588,3189,1554,1635,6.8017995,79.9794161
Homagama,Mattegoda Central 'B',587B,2968,1385,1583,6.8089665,79.974522
Homagama,Siyambalagoda North,592,4087,2067,2020,6.798924,79.9682293
Homagama,Kudamaduwa,591A,3087,1535,1552,6.8013923,79.9598383
Homagama,Sangharama,591D,2129,1034,1095,6.8098802,79.9549431
Homagama,Siyambalagoda South,592A,1843,888,955,6.791054,79.9710261
Homagama,Rilawala,593A,1695,813,882,6.7885856,79.9794161
Homagama,Kahathuduwa West,602B,3225,1569,1656,6.7914021,79.9878053
Homagama,Kiriwattuduwa South,603A,2850,1368,1482,6.7931,80.005979
Homagama,Kiriwattuduwa North,603,2091,994,1097,6.8023797,80.0073768
Homagama,Moonamale - Yakahaluwa,603C,2497,1264,1233,6.8020228,80.0220526
Homagama,Kithulavila,603B,3189,1556,1633,6.7947395,80.0213538
Homagama,Kahathuduwa North,602,2681,1265,1416,6.7861749,79.9906015
Homagama,Kahathuduwa East,602C,2131,998,1133,6.7810636,79.9989895
Homagama,Kahathuduwa South,602A,3073,1502,1571,6.7783057,79.9933976
Homagama,Undurugoda,600,1315,623,692,6.7779005,79.9738229
Homagama,Wethara,593,1977,966,1011,6.7831268,79.9710261
Homagama,Ambalangoda,594,2044,986,1058,6.7750847,79.9654324
Homagama,Heraliyawala,595,954,496,458,6.7669858,79.9570411
Homagama,Palagama,599,2418,1178,1240,6.7645181,79.9654324
Homagama,Weniwelkola,601,4878,2397,2481,6.7714983,79.9836108
Seethawaka,Bollathawa,433,1700,813,887,6.9595228,80.1177335
Seethawaka,Kanampella West,425A,1799,865,934,6.9664127,80.1302969
