DS,GN,GN Number,Both sexes,Male,Female
Homagama,Siyambalagoda North,592,"4,087","2,067","2,020"
Homagama,Kudamaduwa,591A,"3,087","1,535","1,552"
Homagama,Sangharama,591D,"2,129","1,034","1,095"
Homagama,Siyambalagoda South,592A,"1,843",888,955
Homagama,Rilawala,593A,"1,695",813,882
Homagama,Kahathuduwa West,602B,"3,225","1,569","1,656"
Homagama,Kiriwattuduwa South,603A,"2,850","1,368","1,482"
Homagama,Kiriwattuduwa North,603,"2,091",994,"1,097"
Homagama,Moonamale - Yakahaluwa,603C,"2,497","1,264","1,233"
Homagama,Kithulavila,603B,"3,189","1,556","1,633"
Homagama,Kahathuduwa North,602,"2,681","1,265","1,416"
Homagama,Kahathuduwa East,602C,"2,131",998,"1,133"
Homagama,Kahathuduwa South,602A,"3,073","1,502","1,571"
Homagama,Undurugoda,600,"1,315",623,692
Homagama,Wethara,593,"1,977",966,"1,011"
Homagama,Ambalangoda,594,"2,044",986,"1,058"
Homagama,Heraliyawala,595,954,496,458
Homagama,Palagama,599,"2,418","1,178","1,240"
Homagama,Weniwelkola,601,"4,878","2,397","2,481"
Seethawaka,Bollathawa,433,"1,700",813,887
Seethawaka,Kanampella West,425A,"1,799",865,934
Seethawaka,Kanampella East,425,"1,080",519,561
Seethawaka,Manakada,429B,598,279,319
Seethawaka,Eswatta North,429,"2,048",980,"1,068"
Seethawaka,Kiriwandala North,431B,"3,356","1,694","1,662"
Seethawaka,Kudagama,432A,"1,689",788,901
Seethawaka,Weralupitiya,432H,815,405,410
Seethawaka,Seethagama,432F,"2,316","1,052","1,264"
Seethawaka,Avissawella,432,"2,333","1,150","1,183"
Seethawaka,Ukwatta,432C,"2,649","1,268","1,381"
Seethawaka,Agra Pedesa,432G,"2,001",927,"1,074"
Seethawaka,Eswatta South,429C,"1,631",758,873
Seethawaka,Ihala Kosgama North,428,"2,664","1,266","1,398"
Seethawaka,Thawalgoda,426,"1,385",656,729
Seethawaka,Muruthagama,426A,"1,076",517,559
Seethawaka,Akaravita,434,"1,195",591,604
Seethawaka,Kahatapitiya,435,"1,152",580,572
Seethawaka,Kalu Aggala,436,"1,431",714,717
Seethawaka,Salawa,427A,"2,464","1,164","1,300"
Seethawaka,Pahala Kosgama West,427B,"1,959",962,997
Seethawaka,Pahala Kosgama East,427,"1,830",919,911
Seethawaka,Ihala Kosgama South,428B,"1,307",615,692
Seethawaka,Miriswatta,428C,"2,095","1,036","1,059"
Seethawaka,Aluth Ambalama,428A,"1,837",878,959
Seethawaka,Kiriwandala South,431E,"2,138","1,063","1,075"
Seethawaka,Kotahera,432D,"1,725",858,867
Seethawaka,Seethawaka,432B,"1,877",893,984
Seethawaka,Aradhana Kanda,432E,"2,964","1,469","1,495"
Seethawaka,Puwakpitiya South,431C,"3,837","1,833","2,004"
Seethawaka,Puwakpitiya,431,"1,307",623,684
Seethawaka,Egodagama,431D,"1,301",632,669
Seethawaka,Weragolla North,431A,"1,893",890,"1,003"
Seethawaka,Hingurala,429A,"2,099","1,076","1,023"
Seethawaka,Kadugoda North,430,"1,451",694,757
Seethawaka,Mawalgama,437,"2,033",982,"1,051"
Seethawaka,Suduwella,436A,"3,559","1,751","1,808"
Seethawaka,Gira Imbula,435A,928,455,473
Seethawaka,Walawwatta,445A,"1,339",701,638
Seethawaka,Pahala Hanwella,445,"1,492",755,737
Seethawaka,Hanwella Town,443B,"2,989","1,542","1,447"
Seethawaka,Ihala Hanwella North,443,"1,510",746,764
Seethawaka,Niripola,438,"1,681",801,880
Seethawaka,Brandigampala,440A,"1,173",571,602
Seethawaka,Kadugoda South,430A,"1,732",840,892
Seethawaka,Weragolla South,431F,"1,322",693,629
Seethawaka,Digana,442F,"1,478",704,774
Seethawaka,Lahirugama,442D,"2,146","1,040","1,106"
Seethawaka,Mambula,441,"1,128",529,599
Seethawaka,Welikanna,442,"1,512",705,807
Seethawaka,Kahahena,441A,"1,627",797,830
Seethawaka,Neluwattuduwa,440,666,329,337
Seethawaka,Diddeniya North,439,"1,717",849,868
Seethawaka,Ihala Hanwella South,443C,"1,041",493,548
Seethawaka,Pahathgama,443A,"1,857",928,929
Seethawaka,Jayaweeragoda,443D,"1,717",839,878
Seethawaka,Koodaluvila,444D,"2,807","1,378","1,429"
Seethawaka,Thunnana East,444,868,441,427
Seethawaka,Diddeniya South,439A,"1,233",623,610
Seethawaka,Elamalawala,442B,606,303,303
Seethawaka,Ilukovita,442C,533,261,272
Seethawaka,Koswatta,442E,708,343,365
Seethawaka,Pagngnagula,442A,767,366,401
Seethawaka,Pelpola,442G,744,361,383
Seethawaka,Kudakanda,444E,"1,289",600,689
Seethawaka,Thunnana West,444B,"1,713",838,875
Seethawaka,Mawathagama West,444C,"1,976",923,"1,053"
Seethawaka,Mawathagama East,444A,914,445,469
Padukka,Pinnawala North,456,845,403,442
Padukka,Pinnawala South,456A,"1,518",737,781
Padukka,Waga North,457B,857,434,423
Padukka,Waga East,457,"1,789",882,907
Padukka,Thummodara,458A,794,389,405
Padukka,Waga South,457C,970,467,503
Padukka,Siyambalawa,459B,"1,891",927,964
Padukka,Pahala Bope,459A,"1,074",500,574
Padukka,Halpe,454B,727,345,382
Padukka,Waga West,457A,"1,339",642,697
Padukka,Uggalla,454,"1,878",919,959
Padukka,Wewelpanawa,453A,707,335,372
Padukka,Pitumpe North,453,"1,438",698,740
Padukka,Pitumpe South,453B,"1,332",632,700
Padukka,Galagedara East,452,"2,790","1,420","1,370"
Padukka,Galagedara North,452A,"2,391","1,194","1,197"
Padukka,Galagedara South,452B,"1,247",614,633
Padukka,Padukka,461,"2,939","1,451","1,488"
Padukka,Arukwatta North,460,"1,520",724,796
Padukka,Arukwatta South,460A,"2,168","1,078","1,090"
Padukka,Ganegoda,460B,"1,157",545,612
Padukka,Angampitiya,454A,"2,157","1,049","1,108"
Padukka,Weragala,455,"1,814",886,928
